merged DDI type index,type name ,count,color
1,QTc-prolonging activities,6300,"254, 203, 82"
2,serum concentration and absorption,41066,"182, 232, 128"
3,neural activity,1885,"198, 202, 253"
4,stimulatory activities,418,"255, 233, 183"
5,hyperglycemic and hyponatremic activities,2442,"0, 204, 150"
6,arrhythmia,3199,"255, 161, 90"
7,adverse effects,55717,"239, 85, 59"
8,metabolism,43371,"255, 253, 255"
9,bronchoconstrictory and bronchodilatory activities,594,"255, 204, 219"
10,toxicity,1960,"171, 99, 250"
11,central nervous system depressant activities,4937,"122, 230, 248"
12,excretion,1424,"255, 151, 255"
13,myopathy,205,"25, 211, 243"
14,therapeutic efficacy,11236,"232, 248, 214"
15,myelosuppression,678,"51, 255, 201"
16,vasoconstricting and vasodilatory activities,2790,"247, 167, 153"
17,"potassium,calcium,and sodium concentration",2018,"255, 102, 146"
18,hypertensive and hypotensive activities,19755,"0, 204, 150"
19,sedative activities,1597,"255, 219, 192"
20,sundry interactions,8312,"99, 110, 250"
